timestamp,engine_rpm,vehicle_speed_kmh,coolant_temp_c,intake_air_temp_c,maf_airflow_gs,throttle_position_pct,fuel_level_pct,engine_load_pct,short_fuel_trim_pct,long_fuel_trim_pct,ambient_temp_c,barometric_pressure_kpa,control_module_voltage_v
2026-06-20T10:51:40.729573+00:00,2093.82,97.87,87.4,29.99,5.26,43.35,72.2,53.62,-3.78,1.49,25.17,100.25,13.74
2026-06-20T10:51:45.729573+00:00,2246.09,69.29,90.23,23.31,7.39,24.35,72.0,43.56,-2.52,-2.82,22.69,101.36,14.37
2026-06-20T10:51:50.729573+00:00,1874.68,73.32,90.7,23.68,6.15,40.17,71.8,48.63,0.55,0.5,22.76,101.36,14.39
2026-06-20T10:51:55.729573+00:00,2455.45,60.04,91.03,22.5,11.38,22.77,71.6,43.88,-3.54,-2.61,26.0,101.23,14.08
2026-06-20T10:52:00.729573+00:00,1688.48,93.36,90.33,29.78,11.28,26.52,71.4,49.77,-0.04,-1.88,24.64,101.15,13.93
2026-06-20T10:52:05.729573+00:00,2468.5,87.81,88.22,29.18,6.13,41.56,71.2,37.68,2.98,0.61,23.81,100.38,13.61
2026-06-20T10:52:10.729573+00:00,2188.61,67.74,88.53,24.18,13.39,26.18,71.0,48.25,-3.34,-0.58,23.78,100.06,13.95
2026-06-20T10:52:15.729573+00:00,1556.45,61.63,87.88,28.29,6.9,43.54,70.8,54.43,1.59,-2.27,23.31,100.53,14.33
2026-06-20T10:52:20.729573+00:00,1473.62,94.86,89.5,22.24,5.72,44.55,70.6,54.62,3.33,-3.0,24.42,100.21,14.03
2026-06-20T10:52:25.729573+00:00,2022.7,98.93,89.9,27.05,9.09,23.26,70.4,44.64,-3.43,1.5,24.79,100.39,13.69
2026-06-20T10:52:30.729573+00:00,1956.51,88.75,90.25,29.52,12.8,22.85,70.2,52.44,1.34,0.15,24.41,101.29,13.66
2026-06-20T10:52:35.729573+00:00,3223.3,133.08,93.0,63.42,22.79,65.06,58.0,80.3,-11.74,-12.57,39.56,94.72,11.68
2026-06-20T10:52:40.729573+00:00,3302.35,138.17,94.2,48.44,29.58,70.65,57.2,96.92,-10.83,-16.75,36.17,94.37,11.43
2026-06-20T10:52:45.729573+00:00,4168.77,115.94,95.4,55.1,35.87,86.83,56.4,97.49,-14.99,-16.68,38.02,95.95,11.38
2026-06-20T10:52:50.729573+00:00,3648.05,112.96,96.6,49.11,26.89,71.18,55.6,97.01,-16.27,-13.6,33.76,94.85,11.41
2026-06-20T10:52:55.729573+00:00,3889.0,138.1,97.8,46.15,32.28,80.09,54.8,94.5,-11.8,-16.55,35.53,94.91,11.77
2026-06-20T10:53:00.729573+00:00,4264.25,138.14,99.0,46.24,37.26,89.29,54.0,94.22,-15.8,-13.0,40.29,96.22,12.16
2026-06-20T10:53:05.729573+00:00,4371.76,112.47,100.2,59.29,22.2,75.65,53.2,81.03,-12.68,-12.4,33.24,95.42,11.29
2026-06-20T10:53:10.729573+00:00,4304.4,115.48,101.4,57.98,23.96,70.11,52.4,80.25,-14.21,-12.54,35.45,95.12,11.74
2026-06-20T10:53:15.729573+00:00,3166.34,134.77,102.6,63.47,27.72,78.6,51.6,94.68,-11.2,-16.3,41.77,95.73,11.0
2026-06-20T10:53:20.729573+00:00,2866.32,137.65,103.8,50.71,22.01,79.72,50.8,92.06,-16.93,-13.3,38.61,96.46,12.06
2026-06-20T10:53:25.729573+00:00,4054.52,137.01,105.0,63.68,36.99,78.54,50.0,89.21,-13.08,-10.35,40.22,95.19,12.06
2026-06-20T10:53:30.729573+00:00,2875.24,117.32,106.2,54.32,31.61,69.84,49.2,92.09,-17.92,-13.96,37.65,96.86,12.15
2026-06-20T10:53:35.729573+00:00,4412.16,137.51,107.4,52.13,34.86,83.38,48.4,85.98,-14.79,-12.53,32.03,95.98,11.16
2026-06-20T10:53:40.729573+00:00,3775.87,132.08,108.6,49.21,32.81,85.63,47.6,91.71,-16.07,-17.32,34.99,95.36,11.25
2026-06-20T10:53:45.729573+00:00,3279.6,110.19,109.8,50.11,27.1,80.12,46.8,86.75,-12.77,-14.16,40.98,94.07,11.3
2026-06-20T10:53:50.729573+00:00,3513.45,133.23,111.0,48.98,25.74,72.29,46.0,93.16,-12.07,-10.48,40.44,96.03,11.74
2026-06-20T10:53:55.729573+00:00,3270.92,119.02,112.2,54.05,30.74,81.62,45.2,95.55,-15.59,-13.25,34.07,96.34,11.28
2026-06-20T10:54:00.729573+00:00,4055.86,136.28,113.4,47.23,36.16,86.66,44.4,93.22,-14.0,-10.44,34.35,94.52,11.74
2026-06-20T10:54:05.729573+00:00,3514.59,127.83,114.6,45.85,28.58,89.36,43.6,82.68,-15.79,-14.83,32.03,96.73,11.78
2026-06-20T10:54:10.729573+00:00,2833.66,124.57,115.8,57.14,30.84,73.44,42.8,94.7,-16.78,-10.49,39.7,94.18,12.04
2026-06-20T10:54:15.729573+00:00,3472.33,122.19,117.0,49.85,23.15,75.66,42.0,96.37,-10.64,-15.81,34.83,95.25,11.06
2026-06-20T10:54:20.729573+00:00,4166.06,136.95,118.2,45.21,28.15,65.41,41.2,84.33,-13.78,-16.64,40.18,95.9,11.02
2026-06-20T10:54:25.729573+00:00,3900.9,129.23,119.4,50.65,22.32,77.36,40.4,81.65,-16.5,-12.7,33.8,96.29,11.18
2026-06-20T10:54:30.729573+00:00,3446.52,132.65,120.6,61.05,24.6,77.71,39.6,81.88,-14.36,-11.85,34.54,96.86,11.3
2026-06-20T10:54:35.729573+00:00,3133.76,121.38,121.8,59.77,24.55,89.55,38.8,84.23,-10.17,-17.65,34.97,95.44,11.12
2026-06-20T10:54:40.729573+00:00,3045.56,125.82,123.0,52.18,23.05,67.16,38.0,85.68,-14.49,-12.16,37.48,95.28,11.34
2026-06-20T10:54:45.729573+00:00,3159.86,119.27,124.2,50.46,22.24,85.39,37.2,93.58,-13.24,-10.12,32.96,94.46,11.68
2026-06-20T10:54:50.729573+00:00,4269.74,137.67,125.4,58.86,22.76,81.96,36.4,81.36,-14.83,-15.63,32.46,96.6,11.65
2026-06-20T10:54:55.729573+00:00,3809.84,111.6,126.6,56.11,31.52,86.65,35.6,88.53,-16.08,-10.08,36.38,95.13,11.36
2026-06-20T10:55:00.729573+00:00,4005.02,131.24,127.8,53.23,33.64,71.21,34.8,93.8,-15.46,-12.54,37.69,95.62,11.64
2026-06-20T10:55:05.729573+00:00,3693.0,118.92,129.0,63.74,31.6,77.06,34.0,84.48,-14.86,-15.62,39.71,94.22,11.43
2026-06-20T10:55:10.729573+00:00,2904.72,117.44,130.2,47.87,36.56,85.55,33.2,90.75,-11.34,-17.51,32.48,94.78,11.73
2026-06-20T10:55:15.729573+00:00,3772.11,129.84,131.4,56.19,25.53,85.53,32.4,83.27,-10.35,-17.97,32.74,96.42,11.02
2026-06-20T10:55:20.729573+00:00,2836.28,110.93,132.6,58.72,35.28,68.39,31.6,93.01,-17.35,-17.76,39.41,94.16,11.08
2026-06-20T10:55:25.729573+00:00,4005.71,134.29,133.8,61.71,26.72,68.19,30.8,87.91,-16.1,-17.44,37.49,94.47,11.95
2026-06-20T10:55:30.729573+00:00,3025.72,138.21,135,47.61,23.01,83.55,30.0,85.31,-16.83,-11.89,32.1,96.88,11.19
2026-06-20T10:55:35.729573+00:00,3846.79,135.83,135,55.87,22.17,75.04,29.2,83.17,-13.62,-14.49,36.83,94.45,11.05
2026-06-20T10:55:40.729573+00:00,4352.02,132.15,135,51.52,33.95,78.18,28.4,90.33,-10.51,-10.78,35.5,94.69,11.62
2026-06-20T10:55:45.729573+00:00,3377.66,122.28,135,59.41,27.6,85.83,27.6,90.21,-10.45,-10.82,37.39,94.29,11.61
2026-06-20T10:55:50.729573+00:00,4075.53,122.85,135,45.2,33.93,72.4,26.8,93.08,-15.31,-10.44,32.05,95.72,12.17
